num_channels,batch_size,input_height,input_width,kernel_number,kernel_height,kernel_width,padding_size,stride_size
128,2,7,7,256,3,3,1,1
128,2,14,14,256,3,3,1,1
128,2,28,28,256,3,3,1,1
128,2,56,56,256,3,3,1,1
128,2,64,64,256,3,3,1,1
128,2,80,80,256,3,3,1,1
128,2,128,128,256,3,3,1,1
128,2,256,256,256,3,3,1,1
