channels,batch_size,input_height,input_width,kernel_number,kernel_height,kernel_width,padding_size,stride_size
512, 1, 56, 56, 256, 1, 1, 0, 1
512, 1, 56, 56, 256, 3, 3, 1, 1
512, 1, 56, 56, 256, 5, 5, 2, 1
512, 1, 56, 56, 256, 7, 7, 3, 1
512, 1, 56, 56, 256, 9, 9, 3, 1
512, 1, 56, 56, 256,11,11, 3, 1
