num_channels,batch_size,input_height,input_width,kernel_number,kernel_height,kernel_width,padding_size,stride_size
64,1,56,56,64,3,3,1,1
64,2,56,56,64,3,3,1,1
64,3,56,56,64,3,3,1,1
64,4,56,56,64,3,3,1,1
64,5,56,56,64,3,3,1,1
64,6,56,56,64,3,3,1,1
64,7,56,56,64,3,3,1,1
64,8,56,56,64,3,3,1,1
64,9,56,56,64,3,3,1,1
64,10,56,56,64,3,3,1,1
64,11,56,56,64,3,3,1,1
64,12,56,56,64,3,3,1,1
64,13,56,56,64,3,3,1,1
64,14,56,56,64,3,3,1,1
64,15,56,56,64,3,3,1,1
64,16,56,56,64,3,3,1,1
