channels,batch_size,input_height,input_width,kernel_number,kernel_height,kernel_width,padding_size,stride_size
64,2,128,128,16,3,3,1,1
128,2,128,128,16,3,3,1,1
256,2,128,128,16,3,3,1,1
512,2,128,128,16,3,3,1,1
1024,2,128,128,16,3,3,1,1
2048,2,128,128,16,3,3,1,1
4096,2,128,128,16,3,3,1,1
8192,2,128,128,16,3,3,1,1
16384,2,128,128,16,3,3,1,1
