channels,batch_size,input_height,input_width,kernel_number,kernel_height,kernel_width,padding_size,stride_size
64, 1, 56, 56,  64, 3, 3, 1, 1
64, 1, 56, 56, 128, 3, 3, 1, 1
128, 1, 28, 28, 128, 3, 3, 1, 1
128, 1, 28, 28, 256, 3, 3, 1, 1
256, 1, 14, 14, 256, 3, 3, 1, 1
256, 1, 14, 14, 512, 3, 3, 1, 1
