N_BLOCK_SIZE,M_BLOCK_SIZE,K_BLOCK_SIZE,Runtime
256,64,32,20.693657159805298
256,128,2,22.681607961654663
256,128,4,21.637710571289062
256,128,8,21.067413568496704
256,128,16,20.280835390090942
256,128,32,20.69822335243225
256,256,2,22.517987489700317
256,256,4,21.836947917938232
256,256,8,20.896862506866455
256,256,16,21.44168186187744
256,256,32,20.95637822151184
256,512,2,22.66792869567871
256,512,4,25.385825395584106
256,512,8,20.908274173736572
256,512,16,21.434808254241943
256,512,32,20.5154287815094
512,1,2,22.592950582504272
512,1,4,21.45110034942627
512,1,8,21.37027096748352
512,1,16,20.33507490158081
512,1,32,23.912079572677612
512,2,2,22.409082174301147
512,2,4,22.013529539108276
512,2,8,23.981164932250977
512,2,16,20.47630286216736
512,2,32,22.099965810775757
512,4,2,22.636300325393677
512,4,4,21.357356309890747
512,4,8,21.08029842376709
512,4,16,20.3708655834198
512,4,32,20.712621212005615
512,8,2,23.721534490585327
512,8,4,21.58567190170288
512,8,8,20.969131231307983
512,8,16,21.230092763900757
512,8,32,20.720280170440674
512,16,2,22.651551485061646
512,16,4,25.165106058120728
512,16,8,21.012709856033325
512,16,16,20.36652684211731
512,16,32,22.337255239486694
512,32,2,29.476720333099365
512,32,4,27.05757784843445
512,32,8,21.009303092956543
512,32,16,21.29513168334961
512,32,32,20.684604167938232
512,64,2,22.651729345321655
512,64,4,21.810816764831543
512,64,8,20.844733715057373
512,64,16,20.42656421661377
512,64,32,20.68092393875122
512,128,2,22.676921844482422
512,128,4,21.64507007598877
512,128,8,21.075149297714233
512,128,16,20.282275199890137
512,128,32,20.693142652511597
512,256,2,22.658146858215332
512,256,4,25.394541025161743
512,256,8,20.90828776359558
512,256,16,21.438048601150513
512,256,32,20.50831151008606
512,512,2,22.516785144805908
512,512,4,21.830065727233887
512,512,8,20.896601915359497
512,512,16,21.43219828605652
512,512,32,20.9532732963562
